7432865,Paul Kocher
7432866,Daniel Genkin
7432867,Daniel Gruss
7432868,Werner Haas
7432869,Mike Hamburg
7432870,Moritz Lipp
7432871,Stefan Mangard
7432872,Thomas Prescher 0002
7432873,Michael Schwarz 0001
7432874,Yuval Yarom
7432875,Frank Manola
7432876,Michael L. Brodie
7432877,Michael Stonebraker
7432878,Mark F. Hornick
7432879,Joe D. Morrison
7432880,Farshad Nayeri
7432881,Alejandro P. Buchmann
7432882,M. Tamer Özsu
7432883,Dimitrios Georgakopoulos
7432884,Sandra Heiler
7432885,Benjamin Hurwitz
7432886,David Beech
7432887,Cetin Ozbutun
7432888,Krishna G. Kulkarni
7432889,Jim Melton
7432890,Jonathan Bauer
7432891,Mike Kelley
7432892,Phil Shaw
7432893,Rolf Sander
7432894,Thomas Ludwig 0001
7432895,Werner Emde
7432896,Claus-Rainer Rollinger
7432897,Christoph Beierle
7432898,Udo Pletat
7432899,Hans Uszkoreit
7432900,Ulrike Rackow
7432901,Ido Dagan
7432902,Ulrike Schwall
7432903,Brigitte Bartsch-Spörl
7432904,Erich Gehlen
7432905,Burkhard Kehrbusch
7432906,Markus Höhfeld
7432907,Gert Smolka
7432908,Birgit Wesche
7432909,Christopher Habel
7432910,Bernd Walter
7432911,Michael Ley
7432912,Albert Maier
7432913,Stefan Benzschawel
7432914,Egon Börger
7432915,Roland Seiffert
7432916,Gisela Schöpke
7432917,Stefan Böttcher
7432918,Rudi Studer
7432919,Toni Bollinger
7432920,Carola Eschenbach
7432921,Manfred Schmidt-Schauß
7432922,Hans-Joachim Goltz
7432923,Otthein Herzog
7432924,Bernhard Beckert
7432925,Stefan J. Schierholz
7432926,Birgit Wendholt
7432927,Gudrun Klose
7432928,Michael Herweg
7432929,Mohammed Nadjib Khenkhar
7432930,Simone Pribbenow
7432931,Klaus Rehkämper
7432932,Anja Theuner
7432933,Peter H. Schmitt
7432934,Claudia Maienborn
7432935,Brigitte Bläser
7432936,Angelika Storrer
7432937,Esther König
7432938,Claudia Mrotzek
7432939,Stefan Börner
7432940,Lutz Voelkel
7432941,Kai-Uwe Carstensen
7432942,Ulrike Weiland
7432943,Martin Hübner
7432944,Michael Czymmeck
7432945,Michael Tarnowski
7432946,Helmar Gust
7432947,Petra Ludewig
7432948,Mechthild Rickheit
7432949,Kai von Luck
7432950,Elisabeth Neugebauer
7432951,Sitaram Lanka
7432952,Eric Mays
7432953,Petra Maier
7432954,Michel E. Adiba
7432955,Bruce G. Lindsay 0001
7432956,Ewald Lang
7432957,Thomas Pirlein
7432958,Gerd Kortüm
7432959,Ipke Wachsmuth
7432960,Ingrid Renz
7432961,Noam Paz
7432962,Kurt Eberle
7432963,Gregor Erbach
7432964,Christos Garidis
7432965,Jennifer Brundage
7432966,Maren Kresse
7432967,Eric Windisch
7432968,Peter Gerstl
7432969,Dines Bjørner
7432970,E. F. Codd
7432971,Kenneth L. Deckert
7432972,Irving L. Traiger
7432973,Sonja Müller
7432974,Rolf Mayer
7432975,Rüdiger Wirth
7432976,Holger M. Wittmann
7432977,Jan Wilms
7432978,Kai Lebeth
7432979,Bernd Abb
7432980,Jörg Heinrich
7432981,Andreas Eisele 0001
7432982,Jochen Dörre
7432983,Rainer Bäuerle
7432984,Sven Lorenz
7432985,Michael Klein
7432986,Robert S. Arnold
7432987,Jean-Marc Cadiou
7432988,Chin-Liang Chang
7432989,Nick Roussopoulos
7432990,Tibor Kiss
7432991,Wolfgang Wernecke
7432992,Ulrich Hedtstück
7432993,Petra Steffens
7432994,Manfred Grothaus
7432995,Karin Klabunde
7432996,Karl Dotzek
7432997,Sai Choi Kwan
7432998,H. Raymond Strong
7432999,Nikolaus Ott
7433000,F. Günthner
