articleID;reviewerID
0;7433011|7432923|7432945
1;7433057|7432903|7432953
3;7433019|7432969|7433111
4;7432897|7432874|7433060
5;7433008|7433105|7432960
6;7432909|7433080|7432928
7;7433014|7433051|7432995
8;7432992|7432922|7433053
9;7432894|7433026|7433060
10;7433083|7433031|7433003
11;7432918|7432884|7432994
12;7432880|7432966|7432961
13;7433065|7432953|7433050
14;7432973|7433044|7432921
15;7432944|7432977|7432923
16;7433108|7432946|7433042
17;7433051|7432996|7432958
18;7432984|7433042|7432905
19;7432875|7432941|7432882
20;7432889|7433005|7432892
21;7433004|7433067|7433070
22;7432934|7432978|7433059
23;7433085|7432933|7432916
24;7432968|7432902|7432917
25;7433069|7433003|7433091
26;7432916|7433044|7432927
27;7433100|7433042|7433092
28;7432884|7432940|7433078
29;7433076|7432877|7433106
30;7433069|7433059|7433046
31;7432908|7433088|7432880
32;7433060|7432871|7432986
33;7433093|7432969|7432893
34;7432922|7432926|7432876
35;7433026|7432936|7433039
36;7432942|7432913|7432941
37;7433076|7432873|7432916
38;7433015|7432903|7432889
39;7432942|7432924|7432990
40;7432968|7432950|7432946
41;7432974|7432908|7433060
42;7432992|7432943|7432930
43;7433095|7433050|7433029
44;7433045|7433089|7432952
45;7432914|7432951|7433043
46;7433034|7432880|7432884
47;7432900|7432902|7432975
48;7433007|7433020|7432973
49;7433039|7433052|7432910
50;7432910|7433048|7432913
51;7433023|7433027|7432987
52;7433026|7432941|7432871
53;7432905|7433068|7432995
54;7432947|7432994|7432984
55;7432955|7433016|7433078
56;7432878|7432974|7432866
57;7432943|7432922|7433096
58;7433112|7433034|7432919
59;7432890|7433061|7433034
60;7432869|7432902|7433092
61;7432937|7433019|7432945
62;7433023|7432900|7432946
63;7433063|7432953|7432982
64;7433039|7433060|7432897
65;7432973|7432908|7433064
66;7433061|7433080|7432901
67;7433012|7433100|7432961
68;7433016|7433102|7432922
69;7432919|7433016|7433017
70;7433009|7433092|7432887
71;7432939|7432974|7432999
72;7432919|7432873|7433025
73;7433104|7432982|7433090
74;7432957|7433085|7432959
75;7432985|7433048|7433051
76;7432930|7433098|7433066
77;7432974|7432884|7433012
78;7432983|7433040|7432935
79;7433085|7432890|7433030
80;7432889|7432882|7432945
81;7433043|7432929|7432897
82;7433061|7432977|7432936
